id,name,cat_id,category,sub_cat_id,subcategory,four_letter,four_letter_total_voted,enneagram,enneagram_total_voted,socionics,socionics_total_voted,instinctual_variant,instinctual_variant_total_voted,tritype,tritype_total_voted,temperaments,temperaments_total_voted,attitudinal_psyche,attitudinal_psyche_total_voted,big_5_SLOAN,big_5_SLOAN_total_voted,classic_jungian,classic_jungian_total_voted,letter_1,letter_1_percentage,letter_2,letter_2_percentage,letter_3,letter_3_percentage,letter_4,letter_4_percentage,four_letter_total_voted_binned
21388,B.I / Kim Hanbin,29,Kpop,1548,Kpop,INFP,214,4w5,58,ESI,9,sp/sx,21,415.0,19,Choleric-Melancholic,16,VLFE,4,RLOEI,7,EF(N),1,I,0.99,N,0.83,F,0.93,P,0.64,50+
34933,"Zhang Yixing ""Lay"" (EXO)",29,Kpop,1548,Kpop,INFP,212,9w1,76,ESI,10,sx/so,22,962.0,17,Phlegmatic-Sanguine,12,ELVF,4,RCOAI,8,IF(N),2,I,0.94,N,0.77,F,0.82,P,0.77,50+
35819,Hideaki Anno,16,The Arts,4456,Artists (Animators),INFP,211,4w5,117,IEI,23,sp/sx,25,495.0,25,Melancholic [Dominant],18,ELVF,12,RLUEI,20,IF(N),7,I,0.99,N,0.97,F,0.93,P,0.94,50+
18591,Park Jihoon,29,Kpop,1548,Kpop,INFP,210,9w1,36,SEI,4,sx/sp,10,937.0,11,Phlegmatic-Melancholic,13,FLEV,2,RCOAN,2,IS(T),3,I,0.94,N,0.49,F,0.5,P,0.61,50+
1069,Louis C.K.,1,Pop Culture,3850,Comedians,INFP,209,6w5,65,SLI,18,sx/sp,23,649.0,21,Phlegmatic [Dominant],22,EFVL,2,SCUEI,13,IF(S),1,I,0.68,N,0.95,F,0.68,P,0.97,50+
29570,Brian Cox,21,Science,3456,Physics & Astronomy,INFP,199,5w4,73,IEE,8,so/sx,12,529.0,13,Phlegmatic [Dominant],15,LEVF,4,RCUAI,10,IF(N),4,I,0.91,N,0.97,F,0.69,P,0.96,50+
14152,Kento Yamazaki,1,Pop Culture,3427,Actors & Actresses (Asia),INFP,197,9w1,49,SEE,5,sx/sp,10,936.0,11,Phlegmatic [Dominant],14,EVFL,5,RCUAI,8,IN(F),4,I,0.97,N,0.93,F,0.84,P,0.85,50+
31954,Handong (DREAMCATCHER),29,Kpop,1548,Kpop,INFP,194,6w5,51,EII,5,sp/so,15,649.0,16,Melancholic [Dominant],15,,0,RCOAI,4,IF(S),3,I,0.98,N,0.55,F,0.75,P,0.69,50+
75886,Bladee,14,Musician,1551,"European, Musicians",INFP,181,4w5,118,IEI,23,sx/sp,42,469.0,34,Melancholic-Phlegmatic,27,ELVF,10,RLUAI,18,IN(F),10,I,0.98,N,0.91,F,0.97,P,0.93,50+
24932,Taeil (NCT),29,Kpop,1548,Kpop,INFP,180,9w1,71,SEI,7,sp/sx,22,974.0,17,Phlegmatic [Dominant],19,FEVL,1,RCUAI,2,IS(F),2,I,0.99,N,0.74,F,0.88,P,0.89,50+
38555,Satoshi Kon,16,The Arts,4456,Artists (Animators),INFP,179,5w4,80,ILI,6,sx/sp,6,549.0,9,Melancholic [Dominant],7,LEVF,1,RCUAI,1,IN(T),6,I,0.99,N,0.99,F,0.53,P,0.89,50+
21595,T.O.P (BIGBANG),29,Kpop,1548,Kpop,INFP,175,4w5,60,SLI,2,sp/sx,11,469.0,13,Phlegmatic [Dominant],10,VLEF,1,RLOAN,5,,0,I,0.98,N,0.72,F,0.86,P,0.97,50+
3270,Antoine de Saint-Exupéry,16,The Arts,82,"Writers (Literature, Modern)",INFP,174,9w1,55,EII,9,sx/sp,10,947.0,13,Melancholic [Dominant],18,ELVF,5,RLUEI,5,EN(F),3,I,0.93,N,0.98,F,0.98,P,0.97,50+
11655,Denis Villeneuve,1,Pop Culture,207,Film Directors,INFP,166,5w4,68,ILI,14,sp/so,17,549.0,24,Phlegmatic-Sanguine,9,LEFV,1,RCOAI,11,IN(F),6,I,0.92,N,0.89,F,0.91,P,0.55,50+
159133,"Infanta Leonor, Princess of Asturias",10,Noteworthy,3405,Royal Family (World),INFP,165,1w2,36,ESI,6,sx/so,23,126.0,13,Phlegmatic [Dominant],14,EFVL,4,RCOAN,7,IS(F),10,I,0.91,N,0.55,F,0.93,P,0.75,50+
