id,name,four_letter,images_fetched
70773,"Paulo Gustavo",ENFP,3
96165,"Grant Gustin",ENFP,3
192410,"Jack Quaid",ENFP,3
3773,"Gene Wilder",ENFP,3
8913,"Michael J. Fox",ENFP,2
338321,some_celeb,ENFP,2
89233,"Josh Hutcherson",ENFP,3
22262,"Peter Jackson",ENFP,3
249042,"Jovani V�zquez",ENFP,2
49090,"Misha Collins",ENFP,3
2160,"J. J. Abrams",ENFP,3
449972,"Beomhan",ENFP,3
74359,"Moriah Elizabeth",ENFP,2
10926,"Matt Smith",ENFP,2
50368,"Kat Dennings",ENFP,2
26224,"Sarah Hyland",ENFP,3
137899,"Berk Keklik (uberkuloz)",ENFP,2
250961,"DarioMocciaChannel (Dario Moccia)",ENFP,3
16715,"Maisie Williams",ENFP,3
483512,"Ke Huy Quan",ENFP,3
143631,some_celeb,ENFP,2
69223,"Percy Shelley",ENFP,3
16792,"Graham Norton",ENFP,2
22292,"Macaulay Culkin",ENFP,2
165279,"Hazal Kaya",ENFP,2
14849,"Kiernan Shipka",ENFP,3
38232,"Raffa Moreira",ENFP,2
28825,"Beto O'Rourke",ENFP,3
74314,"Tony Ferguson",ENFP,3
61853,"Ren� Perez Joglar (Residente)",ENFP,3
29970,"CalebCity",ENFP,2
53974,"Awkwafina",ENFP,3
428071,"I�aki Godoy",ENFP,2
312947,"Eugene Kalinkin",ENFP,3
28206,"Olivia Colman",ENFP,3
231221,"Li Bai (Li Bo)",ENFP,3
597968,"Haley Kalil",ENFP,3
177301,"Gun ATP Atthaphan Phunsawat",ENFP,3
288397,"Jenna Ortega",ENTJ,2
444,"Steve Jobs",ENTJ,3
108,"Arnold Schwarzenegger",ENTJ,3
43105,"Aidan Gallagher",ENTJ,3
